transaction_id,is_fraud,Resultado,,
06a94162-7bae-427c-b68c-2819181b5467,FALSE,OK,,
8d261988-07bd-4696-8fe3-ba3526142d2e,FALSE,OK,,
b6be7a48-12fc-40ac-a12f-e2e03637231b,FALSE,OK,,
12d06acb-2241-4d57-bfe2-ebb13750d301,FALSE,OK,,
5ce8b673-fe15-41e1-bacf-91569a3cbe53,FALSE,OK,,
5b4a1322-f2d3-4759-981e-b391b7fe6834,FALSE,OK,,
e1b9cf0b-741e-449f-8adf-e298d4a53bc1,FALSE,OK,,
147f045f-3eda-42f4-85cd-dfec7ba82449,FALSE,OK,,
5f18c77c-81b0-4df3-bd94-6277195c69e0,FALSE,OK,,
4068c12b-d791-4778-af93-209deda255e0,FALSE,OK,,
240baa49-5842-4b94-97c8-4fc5360745f7,FALSE,OK,,
6a719f22-0942-4c11-a2ee-37a27d74ee0d,FALSE,OK,,
1e1bb2a7-c589-4a2c-8acd-9725c44e7b80,FALSE,OK,,
da6cafd1-4a0b-4e4f-9783-fa3e024c8669,FALSE,OK,,
d9806cdc-07cb-47c7-8db5-f62f6bfd1547,FALSE,OK,,
6daf654a-2869-4b6f-af66-a07df8703803,FALSE,OK,,
d94112e7-8cd4-4552-b104-15496d7d303a,FALSE,OK,,
11696aa5-9a62-4c1e-8651-7e9a96cb32bc,FALSE,OK,,
9289b6f2-aecd-458c-b790-f8edf33a4851,FALSE,OK,,
8e53acc4-07e6-4b51-933e-2919d1851eed,FALSE,OK,,
062ea3e0-7704-4eb0-9b85-82e54cb69f66,FALSE,OK,,
bb622fed-5503-4ec0-a582-aca96326badd,FALSE,OK,,
99582a20-3660-4bee-97ff-2042195846ba,FALSE,OK,,
caa1a3bf-77d2-427a-99f7-bfa9f89eec7d,FALSE,OK,,
1535966f-d250-483c-b0bd-292578a0f482,FALSE,OK,,
61a98a77-6c85-4585-99dc-9430ccea02c4,FALSE,OK,,
c010e65d-507b-4deb-b8b1-9a6a6c70c0eb,FALSE,OK,,
4454d00d-1de7-4f7c-a5c5-3191f583c07a,FALSE,OK,,
8d022146-9ef5-4632-8db6-c06e7498b7d6,FALSE,OK,,
5ffb71e8-8fd0-4c39-a26b-38a1f07ca759,FALSE,OK,,
e8f4bb02-1ffc-4a3a-bd80-e6e1b7b69485,FALSE,OK,,
60ce81a0-0ed1-44af-9d21-4e2ba3d1701c,FALSE,OK,,
53257cb7-5aa5-41ef-9c31-8fee918ae422,FALSE,OK,,
d6b79f0a-5b98-4409-94a5-bfef07f2d991,FALSE,OK,,
f1d38304-a326-4cf3-9e48-add9e7f76ebd,FALSE,OK,,
e06db3fb-eefd-470f-9f14-f3951190b8fa,FALSE,OK,,
c424ba09-f748-450c-b3a6-5942b21a5354,FALSE,OK,,
